City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country,Date
408,Ostersund,63.1792,14.6357,32.45,80,75,11.5,broken clouds,SE,2022-02-12 19:38:26
409,Muyezerskiy,63.9333,31.65,3.94,100,99,3.8,overcast clouds,RU,2022-02-12 19:38:26
410,Nara,34.6851,135.8049,42.98,58,80,3.58,broken clouds,JP,2022-02-12 19:34:23
411,Atasu,48.6814,71.6433,16.54,95,100,12.71,overcast clouds,KZ,2022-02-12 19:38:27
412,Pangody,65.85,74.4859,-9.09,95,7,15.12,clear sky,RU,2022-02-12 19:38:27
413,Quatre Cocos,-20.2078,57.7625,80.71,85,9,10.6,light rain,MU,2022-02-12 19:37:00
414,Kushtagi,15.7667,76.2,70.9,39,8,5.84,clear sky,IN,2022-02-12 19:38:28
415,Sambava,-14.2667,50.1667,77.59,84,97,8.48,overcast clouds,MG,2022-02-12 19:39:28
416,Borisoglebskiy,57.2586,39.1508,22.64,92,84,11.88,snow,RU,2022-02-12 19:39:28
417,Samana,19.2056,-69.3369,79.02,89,75,6.91,broken clouds,DO,2022-02-12 19:39:29
418,Vytegra,61.0064,36.4481,26.6,94,100,12.77,light snow,RU,2022-02-12 19:39:29
419,Roald,62.5833,6.1333,42.94,75,75,10.36,broken clouds,NO,2022-02-12 19:39:30
420,Zaraysk,54.7653,38.8836,16.59,94,7,10.63,clear sky,RU,2022-02-12 19:39:30
421,Timra,62.487,17.3257,31.68,93,20,3.44,few clouds,SE,2022-02-12 19:39:31
422,Manono,-7.3,27.4167,70.16,92,89,1.32,light rain,CD,2022-02-12 19:39:31
423,Portobelo,9.55,-79.65,92.61,76,27,14.27,scattered clouds,PA,2022-02-12 19:39:31
424,Umm Lajj,25.0213,37.2685,68.68,25,0,24.47,clear sky,SA,2022-02-12 19:39:32
425,Humaita,-7.5061,-63.0208,82.62,76,100,3.38,overcast clouds,BR,2022-02-12 19:39:32
426,Chunhuhub,19.55,-88.6833,79.86,78,29,3.98,scattered clouds,MX,2022-02-12 19:39:33
427,Takoradi,4.8845,-1.7554,80.29,81,96,7.85,overcast clouds,GH,2022-02-12 19:39:33
428,San Borja,-14.8167,-66.85,81.73,88,99,2.64,heavy intensity rain,BO,2022-02-12 19:38:15
429,Colombia,20.9881,-77.4297,88.52,45,47,4.81,scattered clouds,CU,2022-02-12 19:39:34
430,Eucaliptus,-17.5833,-67.5167,55.0,58,100,0.49,overcast clouds,BO,2022-02-12 19:39:34
